Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,AR 5-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted AR 7-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in AR 7-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
896,5,0,0,0.5,0,0,0.5,5,0,0.031164339298169,-0.454602371383737,0.031390529022952,0.026149002532301,-0.442503777308029,0,0,0,0,0.031164339298169,0.045397628616263,0.031390529022952,0.026149002532301,0.057496222691971,0,0,0,0
897,5,0,0,0.5,0,0,0.5,5,0,-0.009402087522158,-0.527890665918487,-0.009474704963919,-0.022682413391678,-0.511487939338915,0,0,0,0,-0.009402087522158,-0.027890665918487,-0.009474704963919,-0.022682413391678,-0.011487939338915,0,0,0,0
898,5,0,0,0.5,0,0,0.5,5,0,0.003756148577722,-0.506543139860176,-0.016614176754916,-0.023792620410548,-0.531119956876741,0,0,0,0,0.003756148577722,-0.006543139860176,-0.016614176754916,-0.023792620410548,-0.031119956876741,0,0,0,0
899,5,0,0,0.5,0,0,0.5,5,0,0.017032338292632,-0.475575445968049,0.004513847667824,-0.014812383420025,-0.50876592739454,0,0,0,0,0.017032338292632,0.024424554031951,0.004513847667824,-0.014812383420025,-0.00876592739454,0,0,0,0
900,5,0,0,0.5,0,0,0.5,5,0,0.026440510085121,-0.460003522628702,0.03454950280975,0.042764915581774,-0.510861147897104,0,0,0,0,0.026440510085121,0.039996477371298,0.03454950280975,0.042764915581774,-0.010861147897104,0,0,0,0
901,5,0,0,0.5,0,0,0.5,5,0,-0.026814939504179,-0.50860696354406,0.002980467214912,0.012928417685596,-0.484006376881375,0,0,0,0,-0.026814939504179,-0.00860696354406,0.002980467214912,0.012928417685596,0.015993623118625,0,0,0,0
902,5,0,0,0.5,0,0,0.5,5,0,-0.043004614937781,-0.421982943388141,-0.016112330622246,0.042939730536427,-0.519769749861841,0,0,0,0,-0.043004614937781,0.078017056611859,-0.016112330622246,0.042939730536427,-0.019769749861841,0,0,0,0
903,5,0,0,0.5,0,0,0.5,5,0,0.025660268972111,-0.48823828551793,0.015097669472922,-0.008050902494526,-0.546660487098269,0,0,0,0,0.025660268972111,0.01176171448207,0.015097669472922,-0.008050902494526,-0.046660487098269,0,0,0,0
904,5,0,0,0.5,0,0,0.5,5,0,0.020845672175969,-0.49878748751464,-0.017601554741496,-0.001037708739923,-0.503425830869595,0,0,0,0,0.020845672175969,0.00121251248536,-0.017601554741496,-0.001037708739923,-0.003425830869595,0,0,0,0
905,5,0,0,0.5,0,0,0.5,5,0,0.028476549018745,-0.472916942185962,0.032502436846608,-0.039532126405711,-0.479613930169636,0,0,0,0,0.028476549018745,0.027083057814038,0.032502436846608,-0.039532126405711,0.020386069830364,0,0,0,0
