Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
125,3,0,0,0.2,0.8,3,0,0.00263814611763,-0.197250757090819,-0.812159766759317,0,0,0,0,0.00263814611763,0.002749242909181,-0.012159766759317,0,0,0,0
126,3,0,0,0.2,0.8,3,0,0.03848050779417,-0.203667591687024,-0.773507374818609,0,0,0,0,0.03848050779417,-0.003667591687024,0.026492625181391,0,0,0,0
127,3,0,0,0.2,0.8,3,0,-0.018327941206944,-0.182392656758314,-0.820800086723945,0,0,0,0,-0.018327941206944,0.017607343241686,-0.020800086723945,0,0,0,0
128,3,0,0,0.2,0.8,3,0,0.030908614560966,-0.24038509269088,-0.766051201932451,0,0,0,0,0.030908614560966,-0.04038509269088,0.033948798067549,0,0,0,0
129,3,0,0,0.2,0.8,3,0,-0.009274819692918,-0.186921112342772,-0.796671004665735,0,0,0,0,-0.009274819692918,0.013078887657228,0.003328995334265,0,0,0,0
130,3,0,0,0.2,0.8,3,0,0.027109612529055,-0.231923643958624,-0.770458637090075,0,0,0,0,0.027109612529055,-0.031923643958624,0.029541362909926,0,0,0,0
131,3,0,0,0.2,0.8,3,0,-0.001807797792511,-0.196540487999514,-0.826269555426083,0,0,0,0,-0.001807797792511,0.003459512000486,-0.026269555426083,0,0,0,0
132,3,0,0,0.2,0.8,3,0,0.004160955158382,-0.189751097352526,-0.812083138407975,0,0,0,0,0.004160955158382,0.010248902647474,-0.012083138407975,0,0,0,0
133,3,0,0,0.2,0.8,3,0,0.001999857258447,-0.191467124749057,-0.818912691575209,0,0,0,0,0.001999857258447,0.008532875250943,-0.018912691575209,0,0,0,0
134,3,0,0,0.2,0.8,3,0,-0.002534342901517,-0.159160513132977,-0.810102334356902,0,0,0,0,-0.002534342901517,0.040839486867023,-0.010102334356902,0,0,0,0
135,3,0,0,0.2,0.8,3,0,-0.011969553840428,-0.183881436977866,-0.799924655904339,0,0,0,0,-0.011969553840428,0.016118563022134,7.53440956611229E-05,0,0,0,0
136,3,0,0,0.2,0.8,3,0,0.000463855824687,-0.173280563121452,-0.815757498331689,0,0,0,0,0.000463855824687,0.026719436878548,-0.015757498331689,0,0,0,0
137,3,0,0,0.2,0.8,3,0,-0.01264409433222,-0.202100156696379,-0.803586726691701,0,0,0,0,-0.01264409433222,-0.002100156696379,-0.003586726691701,0,0,0,0
138,3,0,0,0.2,0.8,3,0,0.001605142110385,-0.214581362570679,-0.782819735505387,0,0,0,0,0.001605142110385,-0.014581362570679,0.017180264494613,0,0,0,0
139,3,0,0,0.2,0.8,3,0,-0.011131502982501,-0.215192992296252,-0.79982887061272,0,0,0,0,-0.011131502982501,-0.015192992296252,0.00017112938728,0,0,0,0
