Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,AR 5-lag Coeff,AR 6-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted AR 7-lag Coeff,Fitted AR 8-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in AR 7-lag Coeff,Diff in AR 8-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
237,6,0,0,0,0.4,0,0.3,0.3,6,0,0.010757130886746902,-0.015570298262632409,-0.4118397299759192,0.0033964180694643423,-0.31340762551777834,-0.2615107324626206,0,0,0,0,0.010757130886746902,-0.015570298262632409,-0.0118397299759192,0.0033964180694643423,-0.013407625517778354,0.03848926753737941,0,0,0,0
238,6,0,0,0,0.4,0,0.3,0.3,6,0,0.0006229652226803356,-0.02238783161837959,-0.4007078866529866,0.01477651988085965,-0.3412442504056233,-0.28295865063711817,0,0,0,0,0.0006229652226803356,-0.02238783161837959,-0.0007078866529866001,0.01477651988085965,-0.041244250405623295,0.01704134936288182,0,0,0,0
239,6,0,0,0,0.4,0,0.3,0.3,6,0,0.010626353738385066,-0.03903873244385492,-0.3592629361212243,-0.05051349371651185,-0.29874709398800753,-0.24795642914977611,0,0,0,0,0.010626353738385066,-0.03903873244385492,0.04073706387877574,-0.05051349371651185,0.0012529060119924607,0.052043570850223875,0,0,0,0
240,6,0,0,0,0.4,0,0.3,0.3,6,0,0.01175951828446975,-0.0067607446644134955,-0.41260190827109444,0.023104233054839534,-0.3698274868310324,-0.2733074877884907,0,0,0,0,0.01175951828446975,-0.0067607446644134955,-0.01260190827109442,0.023104233054839534,-0.0698274868310324,0.02669251221150931,0,0,0,0
241,6,0,0,0,0.4,0,0.3,0.3,6,0,0.02273033875272497,-0.0009634246790211649,-0.4053526739863671,-0.027707439615422415,-0.25539010792811034,-0.2796008272138139,0,0,0,0,0.02273033875272497,-0.0009634246790211649,-0.005352673986367074,-0.027707439615422415,0.044609892071889645,0.02039917278618608,0,0,0,0
242,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.0770760857118069,0.0037750936774737474,-0.4118090062245684,-0.06216507494285676,-0.27154276618793416,-0.3568449368352,0,0,0,0,-0.0770760857118069,0.0037750936774737474,-0.011809006224568375,-0.06216507494285676,0.02845723381206583,-0.05684493683520003,0,0,0,0
243,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.01932526492062145,-0.004347994010361123,-0.4100567032552188,-0.028738705321032808,-0.3173403930772822,-0.26191910846000904,0,0,0,0,-0.01932526492062145,-0.004347994010361123,-0.01005670325521879,-0.028738705321032808,-0.01734039307728219,0.038080891539990946,0,0,0,0
244,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.02771791931009549,0.004347806098378683,-0.40166533223910317,-0.05667473991258514,-0.25794876933459926,-0.27174395150312025,0,0,0,0,-0.02771791931009549,0.004347806098378683,-0.0016653322391031455,-0.05667473991258514,0.04205123066540073,0.028256048496879738,0,0,0,0
245,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.013017783184334483,-0.03443283973435868,-0.42389892233828186,-0.005800582845982023,-0.3347020359225966,-0.3254258234907722,0,0,0,0,-0.013017783184334483,-0.03443283973435868,-0.023898922338281836,-0.005800582845982023,-0.03470203592259663,-0.025425823490772215,0,0,0,0
246,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.04086530571081613,0.01975483122401638,-0.3793902713102203,-0.015928837829518018,-0.3116033988787778,-0.28736359159767977,0,0,0,0,-0.04086530571081613,0.01975483122401638,0.020609728689779727,-0.015928837829518018,-0.011603398878777815,0.01263640840232022,0,0,0,0
247,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.021820754780714782,-0.010714981059707866,-0.402813066352487,0.003951261536907736,-0.2951498782705949,-0.30635833919690975,0,0,0,0,-0.021820754780714782,-0.010714981059707866,-0.0028130663524869592,0.003951261536907736,0.004850121729405077,-0.006358339196909757,0,0,0,0
248,6,0,0,0,0.4,0,0.3,0.3,6,0,0.02557860178212551,-0.019944628623221435,-0.4086071744727725,0.047931113340665514,-0.3342935877415704,-0.2630306963903628,0,0,0,0,0.02557860178212551,-0.019944628623221435,-0.008607174472772483,0.047931113340665514,-0.03429358774157043,0.03696930360963718,0,0,0,0
249,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.04501656219637444,0.0022669541321714186,-0.3850278397872074,0.01803914842269765,-0.2880030424016554,-0.319515690924941,0,0,0,0,-0.04501656219637444,0.0022669541321714186,0.014972160212792629,0.01803914842269765,0.011996957598344571,-0.019515690924940987,0,0,0,0
250,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.018769476533637364,0.0019957998475407662,-0.4062327462047557,-0.02654053463089802,-0.29444684384213354,-0.29960830612758804,0,0,0,0,-0.018769476533637364,0.0019957998475407662,-0.006232746204755668,-0.02654053463089802,0.005553156157866446,0.00039169387241194675,0,0,0,0
251,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.019470506833150075,-0.010322256647277695,-0.40979031943234034,-0.015697480812522882,-0.27383869339665795,-0.33335916363799306,0,0,0,0,-0.019470506833150075,-0.010322256647277695,-0.009790319432340322,-0.015697480812522882,0.02616130660334204,-0.03335916363799307,0,0,0,0
252,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.04468903706591966,0.04389258029469453,-0.4022900317615708,-0.060139694308426625,-0.29647990849992867,-0.27995458684197083,0,0,0,0,-0.04468903706591966,0.04389258029469453,-0.0022900317615707766,-0.060139694308426625,0.0035200915000713207,0.020045413158029157,0,0,0,0
253,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.02904445673303964,-0.0005559851361885519,-0.39296079218338154,-0.025738563327110508,-0.30558490871081057,-0.3399110936262292,0,0,0,0,-0.02904445673303964,-0.0005559851361885519,0.007039207816618487,-0.025738563327110508,-0.005584908710810577,-0.03991109362622919,0,0,0,0
254,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.0011429955554909665,0.03414782211411596,-0.39600565534245763,-0.0023086328381967808,-0.28492819627691873,-0.2665939201045925,0,0,0,0,-0.0011429955554909665,0.03414782211411596,0.003994344657542392,-0.0023086328381967808,0.015071803723081256,0.0334060798954075,0,0,0,0
255,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.029783029718446666,0.03526647731314864,-0.3928744112971135,-0.004163692517686194,-0.2933121698258998,-0.2979224106724242,0,0,0,0,-0.029783029718446666,0.03526647731314864,0.007125588702886543,-0.004163692517686194,0.006687830174100184,0.0020775893275757906,0,0,0,0
256,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.011075701619652753,-0.007728663834665439,-0.40639974265940604,0.020667095390054353,-0.2792216190982386,-0.3201252417736561,0,0,0,0,-0.011075701619652753,-0.007728663834665439,-0.006399742659406016,0.020667095390054353,0.020778380901761373,-0.0201252417736561,0,0,0,0
257,6,0,0,0,0.4,0,0.3,0.3,6,0,0.04059140685917753,0.02116938037530402,-0.41528996006922003,-0.0042359785012484035,-0.29885913430810135,-0.29770677317149796,0,0,0,0,0.04059140685917753,0.02116938037530402,-0.01528996006922001,-0.0042359785012484035,0.0011408656918986404,0.0022932268285020263,0,0,0,0
258,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.03898620485539163,-0.009910793407812975,-0.3846502465032399,-0.03397198258174315,-0.30544477432843364,-0.27155334910745776,0,0,0,0,-0.03898620485539163,-0.009910793407812975,0.015349753496760099,-0.03397198258174315,-0.005444774328433655,0.028446650892542225,0,0,0,0
259,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.01782526038712147,0.06354469538319771,-0.37390872776894835,-0.02205075517534689,-0.3030717233538552,-0.26657764129509637,0,0,0,0,-0.01782526038712147,0.06354469538319771,0.026091272231051676,-0.02205075517534689,-0.0030717233538551936,0.03342235870490362,0,0,0,0
260,6,0,0,0,0.4,0,0.3,0.3,6,0,0.0021687222896683706,-0.014916534797562614,-0.37460577555707897,-0.03294324342687072,-0.2659649218131695,-0.2835914289830767,0,0,0,0,0.0021687222896683706,-0.014916534797562614,0.025394224442921054,-0.03294324342687072,0.03403507818683049,0.01640857101692328,0,0,0,0
261,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.026277648359351036,0.012617615047427498,-0.44897812365356515,-0.04594337609159542,-0.27541340403913966,-0.3604300433581885,0,0,0,0,-0.026277648359351036,0.012617615047427498,-0.04897812365356513,-0.04594337609159542,0.024586595960860325,-0.06043004335818852,0,0,0,0
262,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.009430053496635615,0.01196146390066681,-0.3529246099413016,0.023752504291600224,-0.33948076833348884,-0.25949562297085704,0,0,0,0,-0.009430053496635615,0.01196146390066681,0.04707539005869843,0.023752504291600224,-0.03948076833348885,0.040504377029142946,0,0,0,0
263,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.042819724915750895,0.0015991414945248361,-0.36590298828195444,-0.0592552954926414,-0.3074120059550196,-0.25813400621035676,0,0,0,0,-0.042819724915750895,0.0015991414945248361,0.03409701171804558,-0.0592552954926414,-0.007412005955019618,0.04186599378964323,0,0,0,0
264,6,0,0,0,0.4,0,0.3,0.3,6,0,0.05085219106014721,-0.015893708354452356,-0.4442137434919424,0.031713617134159794,-0.2768931527663091,-0.27956520380524147,0,0,0,0,0.05085219106014721,-0.015893708354452356,-0.0442137434919424,0.031713617134159794,0.023106847233690886,0.02043479619475852,0,0,0,0
265,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.05379342797931855,0.014490527646001644,-0.38228788420353743,-0.05686636027970725,-0.2718122924665922,-0.28142836473675503,0,0,0,0,-0.05379342797931855,0.014490527646001644,0.01771211579646259,-0.05686636027970725,0.02818770753340777,0.018571635263244957,0,0,0,0
266,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.0041186029579105,-0.015923720458945786,-0.3857969974907215,0.01765472469379572,-0.31383590763336705,-0.3347168667510109,0,0,0,0,-0.0041186029579105,-0.015923720458945786,0.014203002509278528,0.01765472469379572,-0.013835907633367062,-0.03471686675101093,0,0,0,0
267,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.021213077242350956,0.020723310166808416,-0.3865787337261169,0.039684374493458144,-0.28076567019783827,-0.2865530164135359,0,0,0,0,-0.021213077242350956,0.020723310166808416,0.013421266273883126,0.039684374493458144,0.01923432980216172,0.013446983586464067,0,0,0,0
268,6,0,0,0,0.4,0,0.3,0.3,6,0,0.0076793600367844606,0.02115759959442721,-0.4026974834736893,-0.02449134536167575,-0.2693188858784097,-0.31582034672399695,0,0,0,0,0.0076793600367844606,0.02115759959442721,-0.002697483473689255,-0.02449134536167575,0.030681114121590303,-0.01582034672399696,0,0,0,0
269,6,0,0,0,0.4,0,0.3,0.3,6,0,0.02539414806497922,-0.0028525682526924327,-0.4327037501534813,0.04760000063091274,-0.2982975422176476,-0.32714226113374173,0,0,0,0,0.02539414806497922,-0.0028525682526924327,-0.03270375015348126,0.04760000063091274,0.0017024577823523956,-0.02714226113374174,0,0,0,0
270,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.035631763428983595,0.0433928417151999,-0.38513139463359813,-0.030850514920897406,-0.2851663440332634,-0.3083718994419181,0,0,0,0,-0.035631763428983595,0.0433928417151999,0.014868605366401888,-0.030850514920897406,0.01483365596673658,-0.00837189944191813,0,0,0,0
271,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.02625444129188048,0.021720615098762115,-0.40515340814477563,0.024284478399991302,-0.3041037863136211,-0.29893514277887007,0,0,0,0,-0.02625444129188048,0.021720615098762115,-0.005153408144775606,0.024284478399991302,-0.004103786313621127,0.0010648572211299223,0,0,0,0
272,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.05502976117382516,0.014549154371762341,-0.4507175603940905,-0.039265368318734534,-0.2162483805515674,-0.3095364297264276,0,0,0,0,-0.05502976117382516,0.014549154371762341,-0.05071756039409048,-0.039265368318734534,0.0837516194484326,-0.009536429726427598,0,0,0,0
273,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.012468461717482976,-0.09613501470353798,-0.3996304955972282,-0.0014615492176279117,-0.31419946508298685,-0.262936003281047,0,0,0,0,-0.012468461717482976,-0.09613501470353798,0.0003695044027718364,-0.0014615492176279117,-0.014199465082986862,0.037063996718952996,0,0,0,0
274,6,0,0,0,0.4,0,0.3,0.3,6,0,0.011244554374992971,0.07100660452007974,-0.38933964159720486,-0.029574919226272936,-0.2824534487345266,-0.2662503189770565,0,0,0,0,0.011244554374992971,0.07100660452007974,0.010660358402795167,-0.029574919226272936,0.017546551265473387,0.03374968102294351,0,0,0,0
275,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.012450514341877203,-0.00042581903995721464,-0.4350144849053538,0.019436677867318945,-0.2776858913096306,-0.34355401847481476,0,0,0,0,-0.012450514341877203,-0.00042581903995721464,-0.035014484905353804,0.019436677867318945,0.022314108690369372,-0.04355401847481477,0,0,0,0
276,6,0,0,0,0.4,0,0.3,0.3,6,0,0.018508598697037554,-0.03741901673370178,-0.39156074171461513,-0.018593119796294397,-0.3138411999262224,-0.3078605303104861,0,0,0,0,0.018508598697037554,-0.03741901673370178,0.008439258285384887,-0.018593119796294397,-0.013841199926222403,-0.007860530310486114,0,0,0,0
277,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.04213903100176883,-0.00949193000796864,-0.3980762330282921,-0.02764159496821017,-0.32185366316400454,-0.31925021743232473,0,0,0,0,-0.04213903100176883,-0.00949193000796864,0.0019237669717079298,-0.02764159496821017,-0.021853663164004555,-0.019250217432324745,0,0,0,0
278,6,0,0,0,0.4,0,0.3,0.3,6,0,0.024518639369796286,-0.035668803634140316,-0.39240664212525733,0.003619677030424708,-0.3407170766711757,-0.26644212222851305,0,0,0,0,0.024518639369796286,-0.035668803634140316,0.00759335787474269,0.003619677030424708,-0.04071707667117569,0.033557877771486944,0,0,0,0
279,6,0,0,0,0.4,0,0.3,0.3,6,0,0.01789334283447251,0.009232593831636545,-0.41904860268669336,-0.00190637115430802,-0.27712632193482295,-0.28574555668622914,0,0,0,0,0.01789334283447251,0.009232593831636545,-0.01904860268669334,-0.00190637115430802,0.02287367806517704,0.014254443313770848,0,0,0,0
280,6,0,0,0,0.4,0,0.3,0.3,6,0,0.03142974953863896,-0.02451533131655652,-0.32231131408532077,0.05015115771597109,-0.2898866397296956,-0.31426053683064936,0,0,0,0,0.03142974953863896,-0.02451533131655652,0.07768868591467926,0.05015115771597109,0.010113360270304406,-0.014260536830649373,0,0,0,0
281,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.02304493717932428,0.009671701631136143,-0.4377567622610539,0.0008290826950949084,-0.3069295510337404,-0.31145146498342346,0,0,0,0,-0.02304493717932428,0.009671701631136143,-0.0377567622610539,0.0008290826950949084,-0.006929551033740433,-0.011451464983423476,0,0,0,0
