Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
85,4,0,0,0,0,0.8,4,0,-0.005753668514654,-0.014544428974996,-0.028288423289344,-0.794144778755121,0,0,0,0,-0.005753668514654,-0.014544428974996,-0.028288423289344,0.005855221244879,0,0,0,0
86,4,0,0,0,0,0.8,4,0,0.037066824643389,-0.031753539151112,-0.025981424577711,-0.809801779878693,0,0,0,0,0.037066824643389,-0.031753539151112,-0.025981424577711,-0.009801779878693,0,0,0,0
87,4,0,0,0,0,0.8,4,0,0.002635904910767,-0.01356041725246,-0.01687644603037,-0.760530810074652,0,0,0,0,0.002635904910767,-0.01356041725246,-0.01687644603037,0.039469189925348,0,0,0,0
88,4,0,0,0,0,0.8,4,0,0.002841090565758,0.003740760380245,-0.03676960438474,-0.819540251930908,0,0,0,0,0.002841090565758,0.003740760380245,-0.03676960438474,-0.019540251930908,0,0,0,0
89,4,0,0,0,0,0.8,4,0,0.006049641657369,0.007677412051402,0.001240572198999,-0.735755933261599,0,0,0,0,0.006049641657369,0.007677412051402,0.001240572198999,0.064244066738401,0,0,0,0
90,4,0,0,0,0,0.8,4,0,-0.007818574229057,-0.017241703374114,0.012220696950265,-0.778475766785715,0,0,0,0,-0.007818574229057,-0.017241703374114,0.012220696950265,0.021524233214285,0,0,0,0
91,4,0,0,0,0,0.8,4,0,0.002560231128188,0.003674720498306,-0.01606604630259,-0.761866079517076,0,0,0,0,0.002560231128188,0.003674720498306,-0.01606604630259,0.038133920482924,0,0,0,0
92,4,0,0,0,0,0.8,4,0,-0.001375878111598,-0.021559215309036,-0.010463329156667,-0.779268718664843,0,0,0,0,-0.001375878111598,-0.021559215309036,-0.010463329156667,0.020731281335157,0,0,0,0
93,4,0,0,0,0,0.8,4,0,0.022865211416998,0.003207550136705,-0.007577516393078,-0.805463587982017,0,0,0,0,0.022865211416998,0.003207550136705,-0.007577516393078,-0.005463587982017,0,0,0,0
94,4,0,0,0,0,0.8,4,0,0.023236253922018,0.025825605759779,-0.00219224887359,-0.755840028031295,0,0,0,0,0.023236253922018,0.025825605759779,-0.00219224887359,0.044159971968705,0,0,0,0
95,4,0,0,0,0,0.8,4,0,-0.006630996310698,0.015836499272179,0.007859576926593,-0.79549871724233,0,0,0,0,-0.006630996310698,0.015836499272179,0.007859576926593,0.00450128275767,0,0,0,0
96,4,0,0,0,0,0.8,4,0,0.022640943462081,0.018539669671496,-0.025145262520222,-0.803373071448031,0,0,0,0,0.022640943462081,0.018539669671496,-0.025145262520222,-0.003373071448031,0,0,0,0
97,4,0,0,0,0,0.8,4,0,-0.013563269843638,0.016105668347786,0.001097407217081,-0.76880339220256,0,0,0,0,-0.013563269843638,0.016105668347786,0.001097407217081,0.03119660779744,0,0,0,0
98,4,0,0,0,0,0.8,4,0,-0.013234003875714,-0.017797653652015,-0.022631957415209,-0.761179402894551,0,0,0,0,-0.013234003875714,-0.017797653652015,-0.022631957415209,0.038820597105449,0,0,0,0
99,4,0,0,0,0,0.8,4,0,-0.008496277099949,0.007323977640683,-0.008685410588695,-0.803563164955365,0,0,0,0,-0.008496277099949,0.007323977640683,-0.008685410588695,-0.003563164955365,0,0,0,0
