Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,MA 4-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Fitted MA 6-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff,Diff in MA 6-lag Coeff
27,0,4,0,0,0,0.8,0,4,0,0,0.018664343969773,-0.022931093204277,-0.018858398273034,0.818325421230743,0,0,0,0,-0.018664343969773,0.022931093204277,0.018858398273034,-0.018325421230743,0,0
28,0,4,0,0,0,0.8,0,4,0,0,-0.014012687746937,-0.030320398537027,0.007071052920279,0.781419974223413,0,0,0,0,0.014012687746937,0.030320398537027,-0.007071052920279,0.018580025776587,0,0
29,0,4,0,0,0,0.8,0,4,0,0,0.013731722779512,-0.002306376758503,0.003727518757059,0.830198458859035,0,0,0,0,-0.013731722779512,0.002306376758503,-0.003727518757059,-0.030198458859035,0,0
30,0,4,0,0,0,0.8,0,4,0,0,0.004569990375132,0.006318309830774,-0.010646976645868,0.78971525143875,0,0,0,0,-0.004569990375132,-0.006318309830774,0.010646976645868,0.01028474856125,0,0
31,0,4,0,0,0,0.8,0,4,0,0,-0.009254149365282,-0.024471665853925,0.018222416949999,0.796938065764188,0,0,0,0,0.009254149365282,0.024471665853925,-0.018222416949999,0.003061934235812,0,0
32,0,4,0,0,0,0.8,0,4,0,0,0.022494573801972,-0.011532594445018,-0.000114991795569,0.822523107243272,0,0,0,0,-0.022494573801972,0.011532594445018,0.000114991795569,-0.022523107243272,0,0
33,0,4,0,0,0,0.8,0,4,0,0,-0.012748309483015,-0.000415155005526,-0.005942671408059,0.844340809863323,0,0,0,0,0.012748309483015,0.000415155005526,0.005942671408059,-0.044340809863323,0,0
34,0,4,0,0,0,0.8,0,4,0,0,-0.031584668573288,0.003913797229794,0.031057695399101,0.787986402106121,0,0,0,0,0.031584668573288,-0.003913797229794,-0.031057695399101,0.012013597893879,0,0
35,0,4,0,0,0,0.8,0,4,0,0,0.033619596599963,-0.006202089464815,0.001714459432649,0.785345128365087,0,0,0,0,-0.033619596599963,0.006202089464815,-0.001714459432649,0.014654871634913,0,0
36,0,4,0,0,0,0.8,0,4,0,0,-0.035016075430852,0.024378337969184,-0.004794121376734,0.804715328397457,0,0,0,0,0.035016075430852,-0.024378337969184,0.004794121376734,-0.004715328397457,0,0
37,0,4,0,0,0,0.8,0,4,0,0,0.033275667167323,-0.002906789435194,0.016980758171315,0.798016450235185,0,0,0,0,-0.033275667167323,0.002906789435194,-0.016980758171315,0.001983549764815,0,0
38,0,4,0,0,0,0.8,0,4,0,0,-0.040973163309089,-0.000269807696396,0.00386589976398,0.794746125336614,0,0,0,0,0.040973163309089,0.000269807696396,-0.00386589976398,0.005253874663387,0,0
39,0,4,0,0,0,0.8,0,4,0,0,0.013691021772703,0.006326085251925,0.009151953706248,0.837415383582983,0,0,0,0,-0.013691021772703,-0.006326085251925,-0.009151953706248,-0.037415383582983,0,0
40,0,4,0,0,0,0.8,0,4,0,0,0.015182420530913,-0.038974611588021,-0.001118989059837,0.800797123601831,0,0,0,0,-0.015182420530913,0.038974611588021,0.001118989059837,-0.000797123601831,0,0
41,0,4,0,0,0,0.8,0,4,0,0,-0.020645007889478,0.032743053855867,-0.022007040019941,0.809806386928609,0,0,0,0,0.020645007889478,-0.032743053855867,0.022007040019941,-0.009806386928609,0,0
42,0,4,0,0,0,0.8,0,4,0,0,-0.005236463286856,0.01694489290349,0.000467886846112,0.777591213511707,0,0,0,0,0.005236463286856,-0.01694489290349,-0.000467886846112,0.022408786488293,0,0
43,0,4,0,0,0,0.8,0,4,0,0,0.022253103403612,-0.020131979051783,0.011643280098438,0.804820354428784,0,0,0,0,-0.022253103403612,0.020131979051783,-0.011643280098438,-0.004820354428784,0,0
44,0,4,0,0,0,0.8,0,4,0,0,0.025547293718497,0.015412232375028,-0.004866377813284,0.800562142202129,0,0,0,0,-0.025547293718497,-0.015412232375028,0.004866377813284,-0.000562142202129,0,0
