Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff
78,0,3,0,0.2,0.8,0,3,0,0,0.006538435707822,0.242765070769458,0.79091840821194,0,0,0,0,-0.006538435707822,-0.042765070769458,0.00908159178806,0,0
79,0,3,0,0.2,0.8,0,3,0,0,-0.006747252783404,0.196951805651254,0.802698346044222,0,0,0,0,0.006747252783404,0.003048194348746,-0.002698346044222,0,0
80,0,3,0,0.2,0.8,0,3,0,0,0.041441883412113,0.176587310787931,0.822613082143259,0,0,0,0,-0.041441883412113,0.023412689212069,-0.022613082143259,0,0
81,0,3,0,0.2,0.8,0,3,0,0,0.012188159320519,0.211517525944432,0.824385558255487,0,0,0,0,-0.012188159320519,-0.011517525944432,-0.024385558255487,0,0
82,0,3,0,0.2,0.8,0,3,0,0,-0.005713806758984,0.213254858158996,0.785796379953645,0,0,0,0,0.005713806758984,-0.013254858158996,0.014203620046355,0,0
83,0,3,0,0.2,0.8,0,3,0,0,0.00637131620948,0.197911080119685,0.772138863861399,0,0,0,0,-0.00637131620948,0.002088919880315,0.027861136138601,0,0
84,0,3,0,0.2,0.8,0,3,0,0,0.012792495274794,0.190143840747712,0.804268037977578,0,0,0,0,-0.012792495274794,0.009856159252288,-0.004268037977578,0,0
85,0,3,0,0.2,0.8,0,3,0,0,-0.01582887785681,0.195540356758294,0.763873110378705,0,0,0,0,0.01582887785681,0.004459643241706,0.036126889621295,0,0
86,0,3,0,0.2,0.8,0,3,0,0,-0.001472249573989,0.211517674603836,0.802153895526103,0,0,0,0,0.001472249573989,-0.011517674603837,-0.002153895526103,0,0
87,0,3,0,0.2,0.8,0,3,0,0,0.031553912141272,0.160477817167393,0.851640747847229,0,0,0,0,-0.031553912141272,0.039522182832607,-0.051640747847229,0,0
88,0,3,0,0.2,0.8,0,3,0,0,0.001756556433797,0.207409192915057,0.768542906147486,0,0,0,0,-0.001756556433797,-0.007409192915057,0.031457093852514,0,0
89,0,3,0,0.2,0.8,0,3,0,0,0.011653946682888,0.214944548297361,0.809770757374444,0,0,0,0,-0.011653946682888,-0.014944548297361,-0.009770757374444,0,0
90,0,3,0,0.2,0.8,0,3,0,0,0.028860598006329,0.208902848235043,0.81845820440246,0,0,0,0,-0.028860598006329,-0.008902848235043,-0.01845820440246,0,0
91,0,3,0,0.2,0.8,0,3,0,0,0.015780406076159,0.19265689658068,0.786149318596875,0,0,0,0,-0.015780406076159,0.00734310341932,0.013850681403125,0,0
92,0,3,0,0.2,0.8,0,3,0,0,-0.001003748496377,0.185601103697294,0.793438560712838,0,0,0,0,0.001003748496377,0.014398896302706,0.006561439287162,0,0
93,0,3,0,0.2,0.8,0,3,0,0,0.010628226512457,0.183049046846527,0.764992149945353,0,0,0,0,-0.010628226512457,0.016950953153473,0.035007850054647,0,0
94,0,3,0,0.2,0.8,0,3,0,0,-0.006381246974103,0.182153455949738,0.814105430139393,0,0,0,0,0.006381246974103,0.017846544050263,-0.014105430139393,0,0
95,0,3,0,0.2,0.8,0,3,0,0,-0.011490615512855,0.212491463180076,0.809944665808067,0,0,0,0,0.011490615512855,-0.012491463180076,-0.009944665808067,0,0
96,0,3,0,0.2,0.8,0,3,0,0,0.008874846989348,0.22638631627398,0.770973815038474,0,0,0,0,-0.008874846989348,-0.02638631627398,0.029026184961526,0,0
97,0,3,0,0.2,0.8,0,3,0,0,-0.032659109887561,0.232622883736295,0.830971800748447,0,0,0,0,0.032659109887561,-0.032622883736295,-0.030971800748447,0,0
98,0,3,0,0.2,0.8,0,3,0,0,0.010573811659485,0.18737374856114,0.817851483162592,0,0,0,0,-0.010573811659485,0.01262625143886,-0.017851483162592,0,0
99,0,3,0,0.2,0.8,0,3,0,0,0.020191202382399,0.178687928861442,0.826207122696326,0,0,0,0,-0.020191202382399,0.021312071138558,-0.026207122696326,0,0
100,0,3,0,0.2,0.8,0,3,0,0,-0.004798165990262,0.208969671976546,0.821028822579544,0,0,0,0,0.004798165990262,-0.008969671976546,-0.021028822579544,0,0
