Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,MA 4-lag Coeff,MA 5-lag Coeff,MA 6-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Fitted MA 6-lag Coeff,Fitted MA 7-lag Coeff,Fitted MA 8-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff,Diff in MA 6-lag Coeff,Diff in MA 7-lag Coeff,Diff in MA 8-lag Coeff
313,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.01618235249825506,-0.008396238981729684,0.3980331599202629,-0.007697501597329383,0.29889380576219166,0.28761934179783427,0,0,0,0,-0.01618235249825506,-0.008396238981729684,0.7980331599202629,-0.007697501597329383,0.5988938057621916,0.5876193417978343,0,0
314,0,6,0,0,0.4,0,0.3,0.3,0,7,0,0,0.10467094577030793,0.061151721707791436,0.39358300085800746,0.028412831206574205,0.3322598480430411,0.40372156623686245,0.08072252747114037,0,0,0,0.10467094577030793,0.061151721707791436,0.7935830008580075,0.028412831206574205,0.632259848043041,0.7037215662368624,0.08072252747114037,0
315,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.03702868483206348,0.006021943167329331,0.4112311628663998,-0.027980926955977422,0.3062505341057894,0.28885325049319627,0,0,0,0,-0.03702868483206348,0.006021943167329331,0.8112311628663998,-0.027980926955977422,0.6062505341057893,0.5888532504931963,0,0
316,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.003602644627568999,-0.000870960026156776,0.37559510851003003,-0.015078688213138304,0.3192695545952185,0.3357034333406942,0,0,0,0,-0.003602644627568999,-0.000870960026156776,0.7755951085100301,-0.015078688213138304,0.6192695545952185,0.6357034333406941,0,0
317,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.017906506748094242,-0.02498670178658429,0.3850436063780748,0.04616711098342388,0.3380939651211353,0.2696082792211883,0,0,0,0,-0.017906506748094242,-0.02498670178658429,0.7850436063780748,0.04616711098342388,0.6380939651211353,0.5696082792211883,0,0
318,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.01949132639179916,0.011737251885458669,0.431527888215969,-0.023463345978882378,0.28229060654614246,0.26886198383070153,0,0,0,0,0.01949132639179916,0.011737251885458669,0.831527888215969,-0.023463345978882378,0.5822906065461424,0.5688619838307015,0,0
319,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.001446704260563772,0.035136250709312485,0.4463156300339181,-0.03224725204052617,0.2963254295386759,0.3361999592894837,0,0,0,0,0.001446704260563772,0.035136250709312485,0.8463156300339181,-0.03224725204052617,0.596325429538676,0.6361999592894837,0,0
320,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.025554818777510854,0.006704504586572081,0.39788459432389517,-0.030544767512265612,0.29407223107014935,0.34574535609090695,0,0,0,0,-0.025554818777510854,0.006704504586572081,0.7978845943238952,-0.030544767512265612,0.5940722310701494,0.645745356090907,0,0
321,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.008041990923916262,0.02759691261067778,0.3938642405859029,-0.04729125688153918,0.3171436373044804,0.2826213299194132,0,0,0,0,-0.008041990923916262,0.02759691261067778,0.7938642405859029,-0.04729125688153918,0.6171436373044804,0.5826213299194132,0,0
322,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.013035171803806922,-0.007882327360891034,0.4241494508987439,-0.012870378305492652,0.2777497567607366,0.29002011111624043,0,0,0,0,-0.013035171803806922,-0.007882327360891034,0.8241494508987439,-0.012870378305492652,0.5777497567607366,0.5900201111162404,0,0
